MÊS/ANO   | TOTAL GASTOS
---------------------------
01/2018    | 606,21
02/2018    | 19,407,79
03/2018    | 5,918,08
04/2018    | 5,149,33
05/2018    | 2,018,04
06/2018    | 2,599,67
07/2018    | 2,282,63
08/2018    | 2,627,34
09/2018    | 4,079,12
10/2018    | 743,53
11/2018    | 10,615,26
12/2018    | 4,771,55
01/2019    | 8,776,79
02/2019    | 10,444,97
03/2019    | 5,402,59
04/2019    | 8,142,45
05/2019    | 6,441,37
06/2019    | 6,256,46
07/2019    | 5,364,34
08/2019    | 4,496,35
09/2019    | 6,749,73
10/2019    | 7,072,54
11/2019    | 4,260,66
12/2019    | 3,182,84
01/2020    | 8,809,78
02/2020    | 8,259,12
03/2020    | 8,367,24
04/2020    | 5,936,53
05/2020    | 3,738,27
06/2020    | 8,925,97
07/2020    | 7,163,02
08/2020    | 10,758,66
09/2020    | 2,752,86
10/2020    | 809,27
11/2020    | 356,36
12/2020    | 2,856,11
01/2021    | 440,98
02/2021    | 2,082,79
03/2021    | 2,717,89
04/2021    | 910,43
05/2021    | 2,327,87
06/2021    | 2,732,01
07/2021    | 2,998,74
---------------------------
